subject,metaphor_id,response,met_type,conceptual,nm,trial_order,met_stim,met_RT,age,sex,hand,collegeYear,SES,language_group,lang_dist,LD_rev,LD_inverse,englishAgeofOnset,AT,NFC,letter_sets,WMC,GK,LA,word_gen_pca,source_similarity_lsa,source_similarity_word2vec
1,nm2,Having to consume natto is like trying to force a DVD into a cassette player.,novel,5,5,24,24,106700,19,f,right,4,3,english,,0,0,0,14,10,7,49,20,9,15.5183436,0.010888442,-0.099626481
3,nm5,Eating bony Korean fish was like eating a giant pile of tooth picks stuck inside a chunk of stinky gym sock.,novel,5,5,23,24,155148,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,0.087930778,-0.006757272
4,nm8,Eating that turkey was like biting into a handful of playdough,novel,5,5,24,24,87881,19,f,right,3,3,english,,0,0,0,3,14,7,54,23,9,16.6758334,0.028007263,-0.032830574
6,nm11,"Each and every day, that class felt like the waiting room at a DeKalb County hospital. I was dying inside and no one would ever call my name.",novel,5,5,23,23,77965,27,m,right,7,3,english,,0,0,0,13,28,9,52,26,12,21.2986889,,
6,nm12,"The last time I had sour milk on my granola cereal, it tasted like a Trojan Horse made of copper. Thankfully, my defenses were raised in time and we blocked the onslaught.",novel,5,5,24,24,77315,27,m,right,7,3,english,,0,0,0,13,28,9,52,26,12,21.2986889,-0.024878622,-0.006574614
9,nm17,Eating pineapple pizza was like watching human centipede,novel,5,5,23,24,189239,21,m,right,2,2,bilingual,1,3,1,6,11,0,8,37,24,9,17.303136,0.073619843,0.080082073
9,nm18,Being in that class was like being a cashier without customers,novel,5,5,24,23,173317,21,m,right,2,2,bilingual,1,3,1,6,11,0,8,37,24,9,17.303136,,
13,nm25,Being in that class was like being brought to the worlds largest amusement park but not being allowed on any of the rides,novel,5,5,23,23,46421,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,,
15,nm29,Eating raw avocados was like changing a baby's diaper,novel,5,5,23,24,55093,27,f,right,6,3,english,,0,0,0,17,40,7,53,19,8,18.4195702,0.007208197,0.049073704
16,nm32,Taking the class was like going to the dentist every week,novel,5,5,24,23,16516,26,m,right,6,4,bilingual,,0,0,0,11,37,10,37,27,12,34.5091566,,
19,nm38,Being in that class was like watching the same episode of Friends 20 times without a break.,novel,5,5,24,23,73851,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,,
20,nm39,Being in that class was like having root canal surgery while the TV was on CSPAN.,novel,5,5,23,23,80804,45,f,right,6,3,non-english,2.5,1.5,0.4,11,17,24,14,39,22,11,13.2096799,,
22,nm43,Being in my most recent film class was like having to hear that the Falcons lost by listening to it on the radio rather than the TV.,novel,5,5,23,23,80463,19,f,left,3,2,english,,0,0,0,10,23,10,33,27,12,23.546557,,
30,nm60,Drinking the concoction that my friends dared me to drink once was like trying to swallow a cat whole,novel,5,5,24,24,43612,20,m,left,2,3,english,,0,0,0,9,35,14,41,23,11,23.5710328,0.222634642,0.180089622
31,nm61,Eating cafeteria pizza was like trying to swallow an old tennis shoe with ketchup on it.,novel,5,5,23,24,63509,43,f,left,7,3,english,,0,0,0,9,60,12,58,27,10,19.5383723,-0.021947557,-0.011875247
31,nm62,"Being in that class was like rolling a rock up a hill every day, only to watch it fall back down again.",novel,5,5,24,23,52110,43,f,left,7,3,english,,0,0,0,9,60,12,58,27,10,19.5383723,,
37,nm73,being in that class was like waiting for your mom to stop talking to her friend she ran into at kroger because you haven't eaten since breakfast and you may or may not pass out if she doesn't feed you in the next 5 minutes. ,novel,5,5,23,23,99734,19,f,right,3,3,english,,0,0,0,10,6,14,43,19,10,21.3231647,,
37,nm74,eating flan was like watching a nasty hormonal boy stick his hands down his pants and then smell them. ,novel,5,5,24,24,73930,19,f,right,3,3,english,,0,0,0,10,6,14,43,19,10,21.3231647,0.209721734,0.275848514
44,nm84,Eating kale is like mowing the lawn with your mouth.,novel,5,5,24,24,170031,24,f,right,6,2,english,,0,0,0,8,26,6,53,20,11,20.7487617,0.191686969,0.024833318
60,nm118,Being in that class was like pulling all of the straw off of a pine tree one by one.,novel,5,5,24,23,45402,18,f,right,2,2,english,,0,0,0,7,64,6,32,23,7,18.9134376,,
61,nm120,being in that class was like lining in the post office when two hundred people are before your turn and you do not even have a magazine to read,novel,5,5,24,23,127022,21,m,right,3,3,non-english,2.5,1.5,0.4,6,15,3,10,50,16,12,16.6576735,,
11,nm22,"Attending that class was like having a sleepover with all my friends, except our pillows were textbooks.",novel,5,4.75,24,23,116116,21,f,right,3,3,bilingual,,0,0,0,17,18,9,62,19,12,20.6571744,,
22,nm44,Eating Passover horseradish was like watching a fire happen but still walking through the flames.,novel,5,4.75,24,24,51623,19,f,left,3,2,english,,0,0,0,10,23,10,33,27,12,23.546557,0.156746934,0.092576685
28,nm55,Eating uncooked chicken was like charcoal.,novel,5,4.75,23,24,188888,21,f,right,3,2,bilingual,2.75,1.25,0.363636364,6,21,4,7,20,13,2,9.6914146,-0.019824148,-0.083892325
43,nm82,Being in that class made me feel like I was watching my own toenails grow.,novel,5,4.75,24,23,98489,26,f,right,6,3,english,,0,0,0,11,21,10,56,26,11,26.4825233,,
54,nm105,being in that biology class was like assisting to wedding in a church,novel,5,4.75,23,23,74948,21,f,right,4,3,non-english,2.5,1.5,0.4,10,13,4,13,44,11,9,13.179676,,
55,nm107,Having to focus in that class for a whole hour was like trying to fit a camel through a needle head.,novel,5,4.75,23,23,62980,17,f,right,1,4,bilingual,2.75,1.25,0.363636364,1,6,20,9,58,14,4,26.9945506,,
5,nm10,That meal was like eating boogers on a biscuit. ,novel,4.5,4.5,24,24,16165,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.056047424,-0.064920766
10,nm19,Drinking spoiled milk is like Hiroshima,novel,5,4.5,23,24,84176,20,m,ambi,2,3,non-english,1.5,2.5,0.666666667,5,20,8,9,33,18,7,12.0285021,0.132150512,0.167956965
17,nm34,Being in that class was like being the last intelligent person on earth.,novel,4.5,4.5,24,23,58357,28,f,right,7,3,english,,0,0,0,10,41,9,48,24,11,16.7145211,,
21,nm41,Being in the class was like waiting on death row.,novel,5,4.5,23,23,32420,63,f,right,7,3,english,,0,0,0,12,4,6,53,14,6,14.3024261,,
23,nm45,"Swallowing the medicine was like waking early for work, necessary but unpleasant. ",novel,5,4.5,23,24,246275,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,-0.101787375,0.093638136
